Price,Date
1723.01,7/25/15
1723.01,7/27/15
1917.97,8/4/15
1917.91,8/7/15
2064.71,8/9/15
1777.96,8/10/15
1778.01,8/11/15
1777.98,8/13/15
1777.98,8/14/15
1777.96,8/16/15
1819.91,8/17/15
2069.78,8/19/15
3299.27,8/24/15
1819.64,8/25/15
1819.55,8/26/15
1819.58,8/27/15
1819.66,8/29/15
1819.66,8/30/15
1819.66,8/31/15
1819.61,9/2/15
1784.89,9/3/15
3273.17,9/4/15
1819.64,9/5/15
1819.64,9/6/15
1819.64,9/7/15
1819.56,9/8/15
