Price,Date
721.5,8/1/15
739.22,8/3/15
750.54,8/4/15
679.99,8/5/15
847,8/6/15
680,8/7/15
796.98,8/8/15
829,8/9/15
814,8/10/15
605,8/11/15
682.99,8/12/15
909.99,8/13/15
647,8/14/15
865.39,8/15/15
692,8/16/15
605,8/17/15
605,8/18/15
605,8/19/15
605,8/21/15
605,8/22/15
684,8/23/15
785.64,8/24/15
605,8/25/15
548,8/26/15
583,8/27/15
583,8/28/15
605,8/29/15
649.99,8/30/15
742.98,8/31/15
